date,m/e,quote,author,from,bg,ID,tag1,tag2,tag3,tag4,tag5,tag6
,m,最重要的不是知識的數量，\n\n而是知識的質量，\n\n有些人知道很多很多，\n\n但卻不知道最有用的東西。,托爾斯泰\nЛев Николаевич Толстой\n俄國作家,1828-1910,10,,,,,,,
,m,"若你有幸做對了而爬到高處，\n\n就有責任把電梯回送給還在下面的人！\n\n\nIf you're lucky enough to do well, it's your responsibility to send the elevator back down.",凱文．史貝西KevinSpacey美國演員及導演,,8,,,,,,,
,m,閱讀句樂簿\n\n\n遇見更美好的自己,,閱讀句樂簿,16,,,,,,,
,e,一個人從旅行中得到多少，\n\n不在於他去了多少美麗的地方，\n\n而在於他發現了多少美麗的故事。,艾倫狄波頓\nAlain de Botton\n英國作家,旅行的藝術,3,,,,,,,
,e,還沒跑完就先發證書的馬拉松，\n\n\n叫婚姻。,陳思宏,Myfone行動創作獎,2,,,,,,,
,e,世界上最寬闊的東西是海洋，\n\n比海洋更寬闊的是天空，\n\n比天空更寬闊的是人的心靈。\n,雨果 Hugo\n法國浪漫主義作家,1802-1885,13,,,,,,,
,e,沒有知識的人\n\n總愛議論別人的無知\n\n\n知識豐富的人\n卻時時發現自己的無知,笛卡爾\nRené Descartes\n法國哲學家、數學家、物理學家,1596-1650,0,,,,,,,
,e,熱血只是一個引信，\n\n點燃之後，\n\n見真章的叫做『專業』。,,https://www.facebook.com/events/1109714499087321/,7,,,,,,,
,e,[Tip]\n在桌面長按《閱讀句樂簿》小工具\n\n可以調整版面大小！,,閱讀句樂簿,16,,,,,,,
20160520,m,每天早晚六點\n\n不間斷新句推播\n\n記得點選收藏你喜歡的好句,,閱讀句樂簿,16,,,,,,,
,m,節儉是用最少錢求生存，極簡是用最少東西過最好的生活，是兩個不同的概念。把生活上不必要的東西全丟光，只剩下100樣東西過生活，只留最需要跟最好的，反而才能享受真正的物質生活。\n\n選擇極簡生活跟財富多寡無關。,Joseph Chu\n業主型投資者,http://funusstockmarket.blogspot.tw/2016/02/blog-post_20.html,1,,,,,,,
,m,彼得杜拉克九十幾歲過世前，很多政治界總統總理、全球500強商業總裁等世界領袖每個週末到他家向他諮詢。\n\n而在禮拜五，每一次聚會都是這樣開始的：「星期一的時候，我不想聽到你們說跟我一起的這個週末有多美好，我想聽到你們跟我說你們做了那些改變？」,Peter Drucker\n彼得杜拉克\n管理學之父,1909-2005,4,,,,,,,
,m,語言不是教學的唯一媒介，\n\n安靜也能進行教育。\n\n安靜讓我們有機會反省我們所說所聞，在真正的教育中，安靜為學生進行內省提供可靠環境。\n\n是一種最深層次的學習媒介。,Parker Pamer\n美國教育家,教學的勇氣\nThe courage to teach,13,,,,,,,
,m,做減法比做加法\n\n讓靈魂成長得更快。\n\nSoul grows more by subtraction than by addition.,Thoreau 梭羅 \n美國哲學家,,10,,,,,,,
,m,孩子進校時像個問號，\n\n而畢業時像個句號。\n\nThe kids enter schools as question marks and they leave as periods.,Neil Postman \n美國教育家,1931-2003,8,,,,,,,
,e,喜歡的句子，\n\n就點下面的愛心收藏起來！,,閱讀句樂簿,16,,,,,,,
,e,"憤恨情緒的養成與善惡無關

在憤恨的慣性驅使下，順境時你是正義之師，逆境時你是鄭捷

然而，最令人不安的是...處於順境或逆境，往往不是自己可以決定的，而且它不斷的在改變中...
",Gyurmed Dorje\n佛學哲學家、西藏文學博士,看清你的敵人,12,,,,,,,
,e,人類馴服了馬以後，就沒有人試圖跟馬賽跑，而是騎著牠去詩和遠方。\n\n\n今天，我們幹嘛要跟電腦較勁？\n\n反正也贏不了！,馬東\n企業家、大陸知名電視人、製作人,http://big5.x-weibo.net/n/%E9%A9%AC%E4%B8%9C.html,14,,,,,,,
,e,我並不是因為談到文化差異而感到不舒服，我們對文化差異的關注太多了。\n\n不是文化差異不存在，當然有，而且很重要。\n\n但身為人類，文化的共同性比文化差異多太多了。\n\n而我們不應該忽視這些共同性。,達賴喇嘛\n丹增嘉措,,17,,,,,,,
,e,越私人的東西，\n\n越是人性共通處。\n\n\nWhat is most personal is most universal.,Carl R. Rogers\n美國心理學家,On Becoming a Person: A Therapist's View of Psychotherapy,18,,,,,,,
,e,整個宇宙中有一件，而且只有一件我們知道我們可以從外部觀察中學習到的事，那就是我們自己,C.S. Lewis \nC·S·路易斯\n英國奇幻文學家,1989-1963,19,,,,,,,
20160521,m,把喜歡的句子\n\n分享給朋友吧！,,閱讀句樂簿,16,,,,,,,
,m,想著致富之後要做什麼，還不如先想想，什麼是你富有之後會做，但現在也能做的事，你會驚奇的發現，至少有90%的事是相同的。\n\n\n比例越高，你離富有越近。\n,Joseph Chu\n業主型投資者,http://funusstockmarket.blogspot.tw/2016/02/blog-post_20.html,15,,,,,,,
,m,\n問對問題很重要。\n在管理決策中，最常見的錯誤來源是強調找到正確答案而非正確的問題。,Peter Drucker\n彼得杜拉克\n管理學之父,1909-2005,6,,,,,,,
,m,當我的學生不守規矩的時候，我的懲罰是，我讓他們寫100個原因 ，說明為什麼他們棒到要做那樣的事，而且要按照字母順序寫，一直寫到最後一個字母，如果有誰再犯，那就必須要用另一個同義詞，它們不能再用原來的詞。\n\n現在孩子們會對新學生說，我們已經厭倦告訴Marva我有多棒了。,Marva Collins\n美國教育家,https://www.youtube.com/watch?v=uMjotCrGAOY,11,,,,,,,
,m,印第安人的方法比較安靜。他們發現和印第安人坐在一起，他們圍坐在篝火旁兩三個小時，一句話也沒說，只是坐在那裡，看著對方，微笑、享受美好時光、內省，就這樣好幾個小時。\n\n而在我們的文化中，沉默讓我們感到不適，我們試圖打破沉默，我們也為缺乏安靜付出代價。,Robert M Pirsig\n美國作家、哲學教授,尋找萊拉\nLila: an Inquiry into Morals,9,,,,,,,
,m,"為學日益\n\n為道日損\n\nIn pursuit of knowledge, every day something is acquired. In pursuit of wisdoms, everyday something is dropped.",老子\n中國春秋時代思想家,道德經,1,,,,,,,
,e,每日新句左下方\n出現地球圖示時\n可以點選連結看更多訊息\n\n有時候是作者介紹、有時候是一段與句子有關的影片、有時候也可能是一段音樂。\n\n點選看看有什麼驚喜喔！,《閱讀句樂簿》,https://www.facebook.com/read.life/,16,,,,,,,
,e,幸福其實很簡單\n\n就是在一覺天明的早晨\n\n吃著微焦的烤吐司配鮮奶\n\n笑著窗外兩隻貓的打架\n\n刷一下FB上朋友的趣事\n\n然後想著戶頭裡的三億要怎麼花,每天來點負能量,https://www.facebook.com/NeEnergy/?fref=ts,2,,,,,,,
,e,錯的不是科學的重大發現，有資訊永遠比無知強，不管是什麼樣的資訊和什麼樣的無知；\n\n錯在於資訊背後的信念，以為資訊會改變世界的信念。\n\n它不會。,Archibald Macleish\n詩人、哈佛教授,1892-1982,7,,,,,,,
,e,我們必須記住：對一個人深刻本性的認識，同時也是對普遍人類本性的認識。\n\nWe must remember that knowledge of one's own deep nature is also simutaneously knowledge of human nature in general.,Abraham Maslow\n馬斯洛\n美國心理學家,1908-1970,8,,,,,,,
,e,記得學投資的第一堂課教的是「Time Value of Money」。\n\n\n投資，是將錢的時間價值超展開的過程。,Joseph Chu\n業主型投資者,http://funusstockmarket.blogspot.tw/2016/02/blog-post_20.html,13,,,,,,,
,e,John Carter從對哈佛MBA的學生做了長達20年的研究觀察。他發現那些在成功的學生裡格外成功的一小部分人，這群學生無論在收入、社會影響力、生活品質上，都比其他人要跟成功。他發現只有兩件事讓這些人與其他人不同：（1）自信：他們真的相信自己能做好 （2）好奇：他們一直在問問題,John Carter\n管理學學者,,15,,,,,,,
